Taxa	Genus	Host
Equine_foamy_virus|Equispumavirus|Equus_caballus	Equispumavirus	Equus_caballus
Bovine_foamy_virus|Bovispumavirus|Bos_taurus	Bovispumavirus	Bos_taurus
Ysarcoma_virus|Alpharetrovirus|Gallus_gallus	Alpharetrovirus	Gallus_gallus
Avian_leukosis_virus|Alpharetrovirus|Gallus_gallus	Alpharetrovirus	Gallus_gallus
Mouse_mammary_tumor_virus|Betaretrovirus|Mus_musculus	Betaretrovirus	Mus_musculus
Jaagsiekte_sheep_retrovirus|Betaretrovirus|Ovis_aries	Betaretrovirus	Ovis_aries
Simian_retrovirus_4|Betaretrovirus|Macaca_fascicularis	Betaretrovirus	Macaca_fascicularis
Ovine_enzootic_nasal_tumor_virus|Betaretrovirus|Ovis_aries	Betaretrovirus	Ovis_aries
Primate_T-lymphotropic_virus_3|Deltaretrovirus|Cercopithecus_mona	Deltaretrovirus	Cercopithecus_mona
Human_T_lymphotropic_virus_4|Deltaretrovirus|Homo_sapiens	Deltaretrovirus	Homo_sapiens
Bovine_leukemia_virus|Deltaretrovirus|Bos_taurus	Deltaretrovirus	Bos_taurus
Woolly_monkey_sarcoma_virus|Gammaretrovirus|Lagothrix_sp	Gammaretrovirus	Lagothrix_sp
Feline_leukemia_virus|Gammaretrovirus|Felis_catus	Gammaretrovirus	Felis_catus
Reticuloendotheliosis_virus|Gammaretrovirus|Gallus_gallus	Gammaretrovirus	Gallus_gallus
Koala_retrovirus|Gammaretrovirus|Phascolarctos_cinereus	Gammaretrovirus	Phascolarctos_cinereus
Murine_leukemia_virus|Gammaretrovirus|Mus_musculus	Gammaretrovirus	Mus_musculus
Simian_immunodeficiency_virus|Lentivirus|Mandrillus_sphinx	Lentivirus	Mandrillus_sphinx
Human_immunodeficiency_virus_2|Lentivirus|Homo_sapiens	Lentivirus	Homo_sapiens
Caprine_arthritis_encephalitis_virus|Lentivirus|Capra_hircus	Lentivirus	Capra_hircus
Feline_foamy_virus|Felispumavirus|Felis_catus	Felispumavirus	Felis_catus
Western_lowland_gorilla_simian_foamy_virus|Simiispumavirus|Gorilla_gorilla_gorilla	Simiispumavirus	Gorilla_gorilla_gorilla
Yellow-breasted_capuchin_simian_foamy_virus|Simiispumavirus|Sapajus_xanthosternos	Simiispumavirus	Sapajus_xanthosternos
